SK_ID_CURR,actual_TARGET,predicted_probability,risk_score,risk_tier,recommended_action
398593,0,0.90778816,90.78,red,Pre-default risk. Immediate branch escalation recommended.
196511,1,0.9077046,90.77,red,Pre-default risk. Immediate branch escalation recommended.
385364,0,0.90737164,90.74,red,Pre-default risk. Immediate branch escalation recommended.
439490,1,0.9072674,90.73,red,Pre-default risk. Immediate branch escalation recommended.
125710,0,0.9070755,90.71,red,Pre-default risk. Immediate branch escalation recommended.
340368,1,0.9061918,90.62,red,Pre-default risk. Immediate branch escalation recommended.
347356,0,0.9061412,90.61,red,Pre-default risk. Immediate branch escalation recommended.
164204,1,0.9058883,90.59,red,Pre-default risk. Immediate branch escalation recommended.
434041,0,0.90571105,90.57,red,Pre-default risk. Immediate branch escalation recommended.
389354,1,0.90523696,90.52,red,Pre-default risk. Immediate branch escalation recommended.
169206,1,0.9049229,90.49,red,Pre-default risk. Immediate branch escalation recommended.
390333,0,0.9045875,90.46,red,Pre-default risk. Immediate branch escalation recommended.
349759,0,0.9044959,90.45,red,Pre-default risk. Immediate branch escalation recommended.
179433,1,0.9044811,90.45,red,Pre-default risk. Immediate branch escalation recommended.
228267,1,0.9041529,90.42,red,Pre-default risk. Immediate branch escalation recommended.
190027,0,0.9042212,90.42,red,Pre-default risk. Immediate branch escalation recommended.
251553,0,0.9040025,90.4,red,Pre-default risk. Immediate branch escalation recommended.
332260,0,0.90370166,90.37,red,Pre-default risk. Immediate branch escalation recommended.
387924,0,0.9033093,90.33,red,Pre-default risk. Immediate branch escalation recommended.
247657,1,0.90332377,90.33,red,Pre-default risk. Immediate branch escalation recommended.
307483,0,0.90229493,90.23,red,Pre-default risk. Immediate branch escalation recommended.
342187,1,0.9021522,90.22,red,Pre-default risk. Immediate branch escalation recommended.
304326,1,0.9021359,90.21,red,Pre-default risk. Immediate branch escalation recommended.
361755,0,0.9018045,90.18,red,Pre-default risk. Immediate branch escalation recommended.
201132,1,0.9016544,90.17,red,Pre-default risk. Immediate branch escalation recommended.
429282,0,0.9007528,90.08,red,Pre-default risk. Immediate branch escalation recommended.
428017,0,0.9002768,90.03,red,Pre-default risk. Immediate branch escalation recommended.
108528,0,0.90018636,90.02,red,Pre-default risk. Immediate branch escalation recommended.
125480,0,0.9001363,90.01,red,Pre-default risk. Immediate branch escalation recommended.
388093,0,0.899938,89.99,red,Pre-default risk. Immediate branch escalation recommended.
355410,1,0.8996927,89.97,red,Pre-default risk. Immediate branch escalation recommended.
103775,0,0.8995916,89.96,red,Pre-default risk. Immediate branch escalation recommended.
386742,0,0.89888656,89.89,red,Pre-default risk. Immediate branch escalation recommended.
146865,1,0.8987142,89.87,red,Pre-default risk. Immediate branch escalation recommended.
104262,1,0.89862484,89.86,red,Pre-default risk. Immediate branch escalation recommended.
164420,0,0.898174,89.82,red,Pre-default risk. Immediate branch escalation recommended.
107093,1,0.8979981,89.8,red,Pre-default risk. Immediate branch escalation recommended.
186520,0,0.89789313,89.79,red,Pre-default risk. Immediate branch escalation recommended.
242393,1,0.89794695,89.79,red,Pre-default risk. Immediate branch escalation recommended.
387625,0,0.89720255,89.72,red,Pre-default risk. Immediate branch escalation recommended.
445255,0,0.8968465,89.68,red,Pre-default risk. Immediate branch escalation recommended.
115903,0,0.8967423,89.67,red,Pre-default risk. Immediate branch escalation recommended.
326955,1,0.8962753,89.63,red,Pre-default risk. Immediate branch escalation recommended.
212810,1,0.8958771,89.59,red,Pre-default risk. Immediate branch escalation recommended.
271563,1,0.895844,89.58,red,Pre-default risk. Immediate branch escalation recommended.
272840,1,0.8947768,89.48,red,Pre-default risk. Immediate branch escalation recommended.
160510,0,0.894665,89.47,red,Pre-default risk. Immediate branch escalation recommended.
358131,0,0.8944418,89.44,red,Pre-default risk. Immediate branch escalation recommended.
256759,1,0.8940699,89.41,red,Pre-default risk. Immediate branch escalation recommended.
159952,0,0.8941204,89.41,red,Pre-default risk. Immediate branch escalation recommended.
221609,1,0.8937948,89.38,red,Pre-default risk. Immediate branch escalation recommended.
356603,1,0.89335823,89.34,red,Pre-default risk. Immediate branch escalation recommended.
304199,1,0.8933777,89.34,red,Pre-default risk. Immediate branch escalation recommended.
279432,1,0.8929569,89.3,red,Pre-default risk. Immediate branch escalation recommended.
113073,1,0.8925997,89.26,red,Pre-default risk. Immediate branch escalation recommended.
144456,1,0.89226794,89.23,red,Pre-default risk. Immediate branch escalation recommended.
441393,0,0.89220065,89.22,red,Pre-default risk. Immediate branch escalation recommended.
386397,1,0.89220524,89.22,red,Pre-default risk. Immediate branch escalation recommended.
269078,0,0.8920687,89.21,red,Pre-default risk. Immediate branch escalation recommended.
332728,0,0.89148,89.15,red,Pre-default risk. Immediate branch escalation recommended.
145329,1,0.89152914,89.15,red,Pre-default risk. Immediate branch escalation recommended.
303178,0,0.8914415,89.14,red,Pre-default risk. Immediate branch escalation recommended.
133358,1,0.89108187,89.11,red,Pre-default risk. Immediate branch escalation recommended.
219049,1,0.89112926,89.11,red,Pre-default risk. Immediate branch escalation recommended.
282799,1,0.8909699,89.1,red,Pre-default risk. Immediate branch escalation recommended.
197887,1,0.8908767,89.09,red,Pre-default risk. Immediate branch escalation recommended.
184663,1,0.8907733,89.08,red,Pre-default risk. Immediate branch escalation recommended.
334163,1,0.89072144,89.07,red,Pre-default risk. Immediate branch escalation recommended.
446983,0,0.8906013,89.06,red,Pre-default risk. Immediate branch escalation recommended.
368764,0,0.88930774,88.93,red,Pre-default risk. Immediate branch escalation recommended.
171280,0,0.8888095,88.88,red,Pre-default risk. Immediate branch escalation recommended.
398053,1,0.8888061,88.88,red,Pre-default risk. Immediate branch escalation recommended.
125081,1,0.88884896,88.88,red,Pre-default risk. Immediate branch escalation recommended.
271360,0,0.8883481,88.83,red,Pre-default risk. Immediate branch escalation recommended.
260987,0,0.8882927,88.83,red,Pre-default risk. Immediate branch escalation recommended.
109389,0,0.88814425,88.81,red,Pre-default risk. Immediate branch escalation recommended.
422154,0,0.8881053,88.81,red,Pre-default risk. Immediate branch escalation recommended.
170024,1,0.8879106,88.79,red,Pre-default risk. Immediate branch escalation recommended.
184602,0,0.88767284,88.77,red,Pre-default risk. Immediate branch escalation recommended.
153903,0,0.8876571,88.77,red,Pre-default risk. Immediate branch escalation recommended.
190285,0,0.8875876,88.76,red,Pre-default risk. Immediate branch escalation recommended.
167624,0,0.8875283,88.75,red,Pre-default risk. Immediate branch escalation recommended.
378260,0,0.88706815,88.71,red,Pre-default risk. Immediate branch escalation recommended.
251718,1,0.88664335,88.66,red,Pre-default risk. Immediate branch escalation recommended.
420129,0,0.88659656,88.66,red,Pre-default risk. Immediate branch escalation recommended.
241354,0,0.8863767,88.64,red,Pre-default risk. Immediate branch escalation recommended.
243461,0,0.88620263,88.62,red,Pre-default risk. Immediate branch escalation recommended.
311384,1,0.8862259,88.62,red,Pre-default risk. Immediate branch escalation recommended.
185307,0,0.8860807,88.61,red,Pre-default risk. Immediate branch escalation recommended.
189914,0,0.88599485,88.6,red,Pre-default risk. Immediate branch escalation recommended.
277118,0,0.8856153,88.56,red,Pre-default risk. Immediate branch escalation recommended.
257759,1,0.88525695,88.53,red,Pre-default risk. Immediate branch escalation recommended.
127747,1,0.8852953,88.53,red,Pre-default risk. Immediate branch escalation recommended.
341217,1,0.88521564,88.52,red,Pre-default risk. Immediate branch escalation recommended.
132678,1,0.8850894,88.51,red,Pre-default risk. Immediate branch escalation recommended.
258280,0,0.8849942,88.5,red,Pre-default risk. Immediate branch escalation recommended.
167563,0,0.8846168,88.46,red,Pre-default risk. Immediate branch escalation recommended.
253636,0,0.8845805,88.46,red,Pre-default risk. Immediate branch escalation recommended.
103342,1,0.8845837,88.46,red,Pre-default risk. Immediate branch escalation recommended.
365496,0,0.8837643,88.38,red,Pre-default risk. Immediate branch escalation recommended.
287807,1,0.88365144,88.37,red,Pre-default risk. Immediate branch escalation recommended.
143193,1,0.8837343,88.37,red,Pre-default risk. Immediate branch escalation recommended.
422741,1,0.8835225,88.35,red,Pre-default risk. Immediate branch escalation recommended.
307685,0,0.88350093,88.35,red,Pre-default risk. Immediate branch escalation recommended.
428178,1,0.88318837,88.32,red,Pre-default risk. Immediate branch escalation recommended.
179681,0,0.8830631,88.31,red,Pre-default risk. Immediate branch escalation recommended.
299962,0,0.88309354,88.31,red,Pre-default risk. Immediate branch escalation recommended.
169957,1,0.88281584,88.28,red,Pre-default risk. Immediate branch escalation recommended.
330097,0,0.8824883,88.25,red,Pre-default risk. Immediate branch escalation recommended.
169857,1,0.88244087,88.24,red,Pre-default risk. Immediate branch escalation recommended.
284784,1,0.88208795,88.21,red,Pre-default risk. Immediate branch escalation recommended.
200017,0,0.88214964,88.21,red,Pre-default risk. Immediate branch escalation recommended.
140064,1,0.8816773,88.17,red,Pre-default risk. Immediate branch escalation recommended.
149336,0,0.88164794,88.16,red,Pre-default risk. Immediate branch escalation recommended.
282140,1,0.88149965,88.15,red,Pre-default risk. Immediate branch escalation recommended.
249424,0,0.8812196,88.12,red,Pre-default risk. Immediate branch escalation recommended.
340931,1,0.88117343,88.12,red,Pre-default risk. Immediate branch escalation recommended.
220132,0,0.88124925,88.12,red,Pre-default risk. Immediate branch escalation recommended.
263311,1,0.8811264,88.11,red,Pre-default risk. Immediate branch escalation recommended.
355543,1,0.8808552,88.09,red,Pre-default risk. Immediate branch escalation recommended.
115369,0,0.8802782,88.03,red,Pre-default risk. Immediate branch escalation recommended.
102132,0,0.88024926,88.02,red,Pre-default risk. Immediate branch escalation recommended.
232222,1,0.88008004,88.01,red,Pre-default risk. Immediate branch escalation recommended.
278112,1,0.88005126,88.01,red,Pre-default risk. Immediate branch escalation recommended.
436076,1,0.8795701,87.96,red,Pre-default risk. Immediate branch escalation recommended.
375572,1,0.8795875,87.96,red,Pre-default risk. Immediate branch escalation recommended.
383762,1,0.879214,87.92,red,Pre-default risk. Immediate branch escalation recommended.
287286,1,0.87917614,87.92,red,Pre-default risk. Immediate branch escalation recommended.
215140,0,0.8787937,87.88,red,Pre-default risk. Immediate branch escalation recommended.
122357,0,0.8788449,87.88,red,Pre-default risk. Immediate branch escalation recommended.
359009,1,0.8780856,87.81,red,Pre-default risk. Immediate branch escalation recommended.
359481,0,0.8779544,87.8,red,Pre-default risk. Immediate branch escalation recommended.
353380,0,0.87792677,87.79,red,Pre-default risk. Immediate branch escalation recommended.
107388,0,0.8779255,87.79,red,Pre-default risk. Immediate branch escalation recommended.
245116,0,0.8777527,87.78,red,Pre-default risk. Immediate branch escalation recommended.
387909,0,0.8778354,87.78,red,Pre-default risk. Immediate branch escalation recommended.
102760,0,0.8774483,87.74,red,Pre-default risk. Immediate branch escalation recommended.
391093,0,0.8774254,87.74,red,Pre-default risk. Immediate branch escalation recommended.
449898,0,0.87719136,87.72,red,Pre-default risk. Immediate branch escalation recommended.
241167,0,0.8770685,87.71,red,Pre-default risk. Immediate branch escalation recommended.
365086,0,0.8770486,87.7,red,Pre-default risk. Immediate branch escalation recommended.
309851,0,0.8768668,87.69,red,Pre-default risk. Immediate branch escalation recommended.
132493,0,0.8766727,87.67,red,Pre-default risk. Immediate branch escalation recommended.
246420,0,0.87650704,87.65,red,Pre-default risk. Immediate branch escalation recommended.
116602,0,0.8762782,87.63,red,Pre-default risk. Immediate branch escalation recommended.
171080,0,0.87625134,87.63,red,Pre-default risk. Immediate branch escalation recommended.
205326,1,0.8758044,87.58,red,Pre-default risk. Immediate branch escalation recommended.
394605,0,0.87564635,87.56,red,Pre-default risk. Immediate branch escalation recommended.
287501,1,0.8752999,87.53,red,Pre-default risk. Immediate branch escalation recommended.
445570,0,0.8751334,87.51,red,Pre-default risk. Immediate branch escalation recommended.
190318,0,0.8750147,87.5,red,Pre-default risk. Immediate branch escalation recommended.
405806,0,0.8745781,87.46,red,Pre-default risk. Immediate branch escalation recommended.
389352,1,0.874461,87.45,red,Pre-default risk. Immediate branch escalation recommended.
308351,0,0.87419873,87.42,red,Pre-default risk. Immediate branch escalation recommended.
158974,1,0.8740821,87.41,red,Pre-default risk. Immediate branch escalation recommended.
272542,1,0.87413293,87.41,red,Pre-default risk. Immediate branch escalation recommended.
411174,1,0.8736509,87.37,red,Pre-default risk. Immediate branch escalation recommended.
268096,1,0.8737429,87.37,red,Pre-default risk. Immediate branch escalation recommended.
322340,1,0.87360895,87.36,red,Pre-default risk. Immediate branch escalation recommended.
312485,1,0.8732156,87.32,red,Pre-default risk. Immediate branch escalation recommended.
140065,1,0.873137,87.31,red,Pre-default risk. Immediate branch escalation recommended.
150445,0,0.872962,87.3,red,Pre-default risk. Immediate branch escalation recommended.
383497,1,0.8727277,87.27,red,Pre-default risk. Immediate branch escalation recommended.
270527,0,0.8726117,87.26,red,Pre-default risk. Immediate branch escalation recommended.
415825,0,0.8724838,87.25,red,Pre-default risk. Immediate branch escalation recommended.
299991,1,0.8723899,87.24,red,Pre-default risk. Immediate branch escalation recommended.
139612,1,0.87235475,87.24,red,Pre-default risk. Immediate branch escalation recommended.
328526,0,0.8720345,87.2,red,Pre-default risk. Immediate branch escalation recommended.
317377,0,0.87190294,87.19,red,Pre-default risk. Immediate branch escalation recommended.
424078,1,0.87133056,87.13,red,Pre-default risk. Immediate branch escalation recommended.
405475,0,0.87117803,87.12,red,Pre-default risk. Immediate branch escalation recommended.
211952,1,0.8710657,87.11,red,Pre-default risk. Immediate branch escalation recommended.
347098,0,0.8710596,87.11,red,Pre-default risk. Immediate branch escalation recommended.
375694,0,0.87100244,87.1,red,Pre-default risk. Immediate branch escalation recommended.
342255,0,0.87035596,87.04,red,Pre-default risk. Immediate branch escalation recommended.
385320,0,0.8703797,87.04,red,Pre-default risk. Immediate branch escalation recommended.
155309,0,0.87032896,87.03,red,Pre-default risk. Immediate branch escalation recommended.
268142,1,0.87026274,87.03,red,Pre-default risk. Immediate branch escalation recommended.
350351,0,0.87033606,87.03,red,Pre-default risk. Immediate branch escalation recommended.
298127,1,0.8699636,87.0,red,Pre-default risk. Immediate branch escalation recommended.
289979,0,0.8699489,86.99,red,Pre-default risk. Immediate branch escalation recommended.
349841,1,0.86969155,86.97,red,Pre-default risk. Immediate branch escalation recommended.
280054,0,0.8696203,86.96,red,Pre-default risk. Immediate branch escalation recommended.
171606,0,0.8689696,86.9,red,Pre-default risk. Immediate branch escalation recommended.
178326,1,0.86890393,86.89,red,Pre-default risk. Immediate branch escalation recommended.
139766,0,0.86863434,86.86,red,Pre-default risk. Immediate branch escalation recommended.
441329,0,0.8684462,86.84,red,Pre-default risk. Immediate branch escalation recommended.
378974,1,0.86822045,86.82,red,Pre-default risk. Immediate branch escalation recommended.
204577,1,0.8680407,86.8,red,Pre-default risk. Immediate branch escalation recommended.
281982,0,0.8677943,86.78,red,Pre-default risk. Immediate branch escalation recommended.
115537,0,0.86778134,86.78,red,Pre-default risk. Immediate branch escalation recommended.
134383,0,0.86774814,86.77,red,Pre-default risk. Immediate branch escalation recommended.
239184,1,0.8675083,86.75,red,Pre-default risk. Immediate branch escalation recommended.
132479,1,0.8673152,86.73,red,Pre-default risk. Immediate branch escalation recommended.
173875,0,0.8673189,86.73,red,Pre-default risk. Immediate branch escalation recommended.
335457,0,0.8672836,86.73,red,Pre-default risk. Immediate branch escalation recommended.
261791,0,0.8671251,86.71,red,Pre-default risk. Immediate branch escalation recommended.
425084,0,0.8665618,86.66,red,Pre-default risk. Immediate branch escalation recommended.
136748,0,0.8665172,86.65,red,Pre-default risk. Immediate branch escalation recommended.
238882,1,0.8663791,86.64,red,Pre-default risk. Immediate branch escalation recommended.
114885,0,0.8664418,86.64,red,Pre-default risk. Immediate branch escalation recommended.
281236,1,0.8663903,86.64,red,Pre-default risk. Immediate branch escalation recommended.
202780,1,0.8663066,86.63,red,Pre-default risk. Immediate branch escalation recommended.
253960,0,0.8660986,86.61,red,Pre-default risk. Immediate branch escalation recommended.
123050,1,0.8660645,86.61,red,Pre-default risk. Immediate branch escalation recommended.
230858,0,0.8661117,86.61,red,Pre-default risk. Immediate branch escalation recommended.
345156,0,0.8658706,86.59,red,Pre-default risk. Immediate branch escalation recommended.
299760,1,0.86568016,86.57,red,Pre-default risk. Immediate branch escalation recommended.
280580,1,0.8655902,86.56,red,Pre-default risk. Immediate branch escalation recommended.
224639,0,0.8653627,86.54,red,Pre-default risk. Immediate branch escalation recommended.
251501,0,0.86544734,86.54,red,Pre-default risk. Immediate branch escalation recommended.
365077,0,0.8652608,86.53,red,Pre-default risk. Immediate branch escalation recommended.
214787,1,0.86495674,86.5,red,Pre-default risk. Immediate branch escalation recommended.
236108,1,0.8645004,86.45,red,Pre-default risk. Immediate branch escalation recommended.
172710,0,0.86438674,86.44,red,Pre-default risk. Immediate branch escalation recommended.
166633,0,0.86443955,86.44,red,Pre-default risk. Immediate branch escalation recommended.
101871,1,0.86440253,86.44,red,Pre-default risk. Immediate branch escalation recommended.
133408,1,0.8643799,86.44,red,Pre-default risk. Immediate branch escalation recommended.
164079,0,0.8641729,86.42,red,Pre-default risk. Immediate branch escalation recommended.
142693,0,0.8637432,86.37,red,Pre-default risk. Immediate branch escalation recommended.
188430,1,0.8634812,86.35,red,Pre-default risk. Immediate branch escalation recommended.
281226,1,0.86319876,86.32,red,Pre-default risk. Immediate branch escalation recommended.
124878,0,0.8632156,86.32,red,Pre-default risk. Immediate branch escalation recommended.
197764,0,0.86316913,86.32,red,Pre-default risk. Immediate branch escalation recommended.
399155,0,0.8630722,86.31,red,Pre-default risk. Immediate branch escalation recommended.
346873,1,0.8631058,86.31,red,Pre-default risk. Immediate branch escalation recommended.
338392,1,0.8631293,86.31,red,Pre-default risk. Immediate branch escalation recommended.
161597,1,0.8629311,86.29,red,Pre-default risk. Immediate branch escalation recommended.
214737,0,0.8627673,86.28,red,Pre-default risk. Immediate branch escalation recommended.
105393,0,0.86281365,86.28,red,Pre-default risk. Immediate branch escalation recommended.
227430,1,0.8628279,86.28,red,Pre-default risk. Immediate branch escalation recommended.
216334,0,0.8624804,86.25,red,Pre-default risk. Immediate branch escalation recommended.
363246,0,0.8624264,86.24,red,Pre-default risk. Immediate branch escalation recommended.
220361,0,0.86231065,86.23,red,Pre-default risk. Immediate branch escalation recommended.
332479,0,0.8618454,86.18,red,Pre-default risk. Immediate branch escalation recommended.
400231,0,0.8616885,86.17,red,Pre-default risk. Immediate branch escalation recommended.
367643,1,0.86139596,86.14,red,Pre-default risk. Immediate branch escalation recommended.
290109,0,0.8613452,86.13,red,Pre-default risk. Immediate branch escalation recommended.
434662,1,0.8611366,86.11,red,Pre-default risk. Immediate branch escalation recommended.
247990,1,0.86114264,86.11,red,Pre-default risk. Immediate branch escalation recommended.
450134,0,0.8609917,86.1,red,Pre-default risk. Immediate branch escalation recommended.
168870,0,0.86095995,86.1,red,Pre-default risk. Immediate branch escalation recommended.
397447,0,0.86093235,86.09,red,Pre-default risk. Immediate branch escalation recommended.
307833,0,0.8606514,86.07,red,Pre-default risk. Immediate branch escalation recommended.
307349,1,0.86061794,86.06,red,Pre-default risk. Immediate branch escalation recommended.
446519,0,0.8604818,86.05,red,Pre-default risk. Immediate branch escalation recommended.
275165,0,0.8604293,86.04,red,Pre-default risk. Immediate branch escalation recommended.
127344,0,0.86026055,86.03,red,Pre-default risk. Immediate branch escalation recommended.
389033,1,0.86017597,86.02,red,Pre-default risk. Immediate branch escalation recommended.
425008,0,0.85997206,86.0,red,Pre-default risk. Immediate branch escalation recommended.
196608,1,0.8598422,85.98,red,Pre-default risk. Immediate branch escalation recommended.
373306,0,0.8597362,85.97,red,Pre-default risk. Immediate branch escalation recommended.
268022,0,0.85920763,85.92,red,Pre-default risk. Immediate branch escalation recommended.
426190,1,0.85924345,85.92,red,Pre-default risk. Immediate branch escalation recommended.
104787,0,0.8584531,85.85,red,Pre-default risk. Immediate branch escalation recommended.
322588,1,0.858432,85.84,red,Pre-default risk. Immediate branch escalation recommended.
220926,1,0.8582635,85.83,red,Pre-default risk. Immediate branch escalation recommended.
326184,0,0.8581302,85.81,red,Pre-default risk. Immediate branch escalation recommended.
377162,1,0.8580437,85.8,red,Pre-default risk. Immediate branch escalation recommended.
248247,1,0.8579895,85.8,red,Pre-default risk. Immediate branch escalation recommended.
323851,1,0.85756904,85.76,red,Pre-default risk. Immediate branch escalation recommended.
335802,0,0.8575387,85.75,red,Pre-default risk. Immediate branch escalation recommended.
104429,0,0.8575092,85.75,red,Pre-default risk. Immediate branch escalation recommended.
272725,1,0.85741115,85.74,red,Pre-default risk. Immediate branch escalation recommended.
152323,1,0.85722214,85.72,red,Pre-default risk. Immediate branch escalation recommended.
235269,0,0.85717905,85.72,red,Pre-default risk. Immediate branch escalation recommended.
140236,1,0.85708964,85.71,red,Pre-default risk. Immediate branch escalation recommended.
439750,0,0.85704106,85.7,red,Pre-default risk. Immediate branch escalation recommended.
396294,1,0.8570299,85.7,red,Pre-default risk. Immediate branch escalation recommended.
415310,0,0.8570223,85.7,red,Pre-default risk. Immediate branch escalation recommended.
258299,0,0.8568838,85.69,red,Pre-default risk. Immediate branch escalation recommended.
169265,1,0.8567731,85.68,red,Pre-default risk. Immediate branch escalation recommended.
418058,1,0.85672927,85.67,red,Pre-default risk. Immediate branch escalation recommended.
228977,1,0.85673755,85.67,red,Pre-default risk. Immediate branch escalation recommended.
335599,1,0.8565638,85.66,red,Pre-default risk. Immediate branch escalation recommended.
124166,0,0.856495,85.65,red,Pre-default risk. Immediate branch escalation recommended.
194411,0,0.85643053,85.64,red,Pre-default risk. Immediate branch escalation recommended.
431677,0,0.85626185,85.63,red,Pre-default risk. Immediate branch escalation recommended.
447956,0,0.856277,85.63,red,Pre-default risk. Immediate branch escalation recommended.
277068,0,0.85620457,85.62,red,Pre-default risk. Immediate branch escalation recommended.
274462,0,0.8560222,85.6,red,Pre-default risk. Immediate branch escalation recommended.
338972,0,0.8558556,85.59,red,Pre-default risk. Immediate branch escalation recommended.
113559,0,0.85555327,85.56,red,Pre-default risk. Immediate branch escalation recommended.
