SK_ID_CURR,actual_TARGET,predicted_probability,risk_score,risk_tier,recommended_action,finsense_alert
229780,0,0.9397479,93.97,red,Pre-default risk. Immediate branch escalation recommended.,True
418154,0,0.93910754,93.91,red,Pre-default risk. Immediate branch escalation recommended.,True
323420,0,0.93905085,93.91,red,Pre-default risk. Immediate branch escalation recommended.,True
237275,1,0.93886083,93.89,red,Pre-default risk. Immediate branch escalation recommended.,True
148377,0,0.9388161,93.88,red,Pre-default risk. Immediate branch escalation recommended.,True
443442,1,0.93870443,93.87,red,Pre-default risk. Immediate branch escalation recommended.,True
358878,0,0.93852186,93.85,red,Pre-default risk. Immediate branch escalation recommended.,True
415348,1,0.93835694,93.84,red,Pre-default risk. Immediate branch escalation recommended.,True
242684,0,0.93844616,93.84,red,Pre-default risk. Immediate branch escalation recommended.,True
401307,0,0.9377574,93.78,red,Pre-default risk. Immediate branch escalation recommended.,True
140600,1,0.93764406,93.76,red,Pre-default risk. Immediate branch escalation recommended.,True
268241,0,0.9374262,93.74,red,Pre-default risk. Immediate branch escalation recommended.,True
377349,1,0.93708795,93.71,red,Pre-default risk. Immediate branch escalation recommended.,True
362958,1,0.93686545,93.69,red,Pre-default risk. Immediate branch escalation recommended.,True
379779,1,0.93681043,93.68,red,Pre-default risk. Immediate branch escalation recommended.,True
357470,0,0.9366533,93.67,red,Pre-default risk. Immediate branch escalation recommended.,True
407492,0,0.9363639,93.64,red,Pre-default risk. Immediate branch escalation recommended.,True
331188,0,0.9364147,93.64,red,Pre-default risk. Immediate branch escalation recommended.,True
300014,1,0.93624485,93.62,red,Pre-default risk. Immediate branch escalation recommended.,True
451008,0,0.93596345,93.6,red,Pre-default risk. Immediate branch escalation recommended.,True
250192,1,0.9358408,93.58,red,Pre-default risk. Immediate branch escalation recommended.,True
398324,1,0.9356973,93.57,red,Pre-default risk. Immediate branch escalation recommended.,True
127616,1,0.93558806,93.56,red,Pre-default risk. Immediate branch escalation recommended.,True
423269,1,0.93524677,93.52,red,Pre-default risk. Immediate branch escalation recommended.,True
118334,1,0.9352359,93.52,red,Pre-default risk. Immediate branch escalation recommended.,True
425095,1,0.93506277,93.51,red,Pre-default risk. Immediate branch escalation recommended.,True
425649,0,0.9345697,93.46,red,Pre-default risk. Immediate branch escalation recommended.,True
451746,1,0.9344016,93.44,red,Pre-default risk. Immediate branch escalation recommended.,True
314751,1,0.9343381,93.43,red,Pre-default risk. Immediate branch escalation recommended.,True
267775,0,0.93427247,93.43,red,Pre-default risk. Immediate branch escalation recommended.,True
206874,1,0.93424654,93.42,red,Pre-default risk. Immediate branch escalation recommended.,True
218214,1,0.93406564,93.41,red,Pre-default risk. Immediate branch escalation recommended.,True
369502,0,0.9341211,93.41,red,Pre-default risk. Immediate branch escalation recommended.,True
308539,1,0.93395853,93.4,red,Pre-default risk. Immediate branch escalation recommended.,True
190639,1,0.9338555,93.39,red,Pre-default risk. Immediate branch escalation recommended.,True
166700,1,0.9338883,93.39,red,Pre-default risk. Immediate branch escalation recommended.,True
393013,1,0.9338369,93.38,red,Pre-default risk. Immediate branch escalation recommended.,True
150291,1,0.9334156,93.34,red,Pre-default risk. Immediate branch escalation recommended.,True
145112,0,0.9332078,93.32,red,Pre-default risk. Immediate branch escalation recommended.,True
435183,1,0.93323433,93.32,red,Pre-default risk. Immediate branch escalation recommended.,True
244282,1,0.93316317,93.32,red,Pre-default risk. Immediate branch escalation recommended.,True
180016,1,0.93272525,93.27,red,Pre-default risk. Immediate branch escalation recommended.,True
247629,0,0.9326061,93.26,red,Pre-default risk. Immediate branch escalation recommended.,True
263050,0,0.93244666,93.24,red,Pre-default risk. Immediate branch escalation recommended.,True
238567,1,0.93231434,93.23,red,Pre-default risk. Immediate branch escalation recommended.,True
285055,1,0.9323285,93.23,red,Pre-default risk. Immediate branch escalation recommended.,True
236093,0,0.9322484,93.22,red,Pre-default risk. Immediate branch escalation recommended.,True
110178,1,0.9316074,93.16,red,Pre-default risk. Immediate branch escalation recommended.,True
314715,1,0.9315166,93.15,red,Pre-default risk. Immediate branch escalation recommended.,True
134048,1,0.93091166,93.09,red,Pre-default risk. Immediate branch escalation recommended.,True
441848,0,0.9309307,93.09,red,Pre-default risk. Immediate branch escalation recommended.,True
143561,0,0.9306378,93.06,red,Pre-default risk. Immediate branch escalation recommended.,True
250787,1,0.9304596,93.05,red,Pre-default risk. Immediate branch escalation recommended.,True
376872,1,0.93042254,93.04,red,Pre-default risk. Immediate branch escalation recommended.,True
264466,1,0.9303263,93.03,red,Pre-default risk. Immediate branch escalation recommended.,True
328226,1,0.93026936,93.03,red,Pre-default risk. Immediate branch escalation recommended.,True
374802,0,0.93028194,93.03,red,Pre-default risk. Immediate branch escalation recommended.,True
207033,1,0.93015265,93.02,red,Pre-default risk. Immediate branch escalation recommended.,True
380516,0,0.93018156,93.02,red,Pre-default risk. Immediate branch escalation recommended.,True
384459,1,0.930008,93.0,red,Pre-default risk. Immediate branch escalation recommended.,True
437469,1,0.9299205,92.99,red,Pre-default risk. Immediate branch escalation recommended.,True
149642,1,0.9295011,92.95,red,Pre-default risk. Immediate branch escalation recommended.,True
223092,1,0.9295052,92.95,red,Pre-default risk. Immediate branch escalation recommended.,True
239361,1,0.9294433,92.94,red,Pre-default risk. Immediate branch escalation recommended.,True
291830,1,0.9292696,92.93,red,Pre-default risk. Immediate branch escalation recommended.,True
142321,1,0.9292367,92.92,red,Pre-default risk. Immediate branch escalation recommended.,True
382478,1,0.92915845,92.92,red,Pre-default risk. Immediate branch escalation recommended.,True
427757,0,0.92909795,92.91,red,Pre-default risk. Immediate branch escalation recommended.,True
279659,0,0.92914706,92.91,red,Pre-default risk. Immediate branch escalation recommended.,True
344985,1,0.92887026,92.89,red,Pre-default risk. Immediate branch escalation recommended.,True
148331,1,0.9286641,92.87,red,Pre-default risk. Immediate branch escalation recommended.,True
339605,0,0.92855,92.86,red,Pre-default risk. Immediate branch escalation recommended.,True
332328,0,0.92847806,92.85,red,Pre-default risk. Immediate branch escalation recommended.,True
133943,0,0.92851585,92.85,red,Pre-default risk. Immediate branch escalation recommended.,True
137332,1,0.92848647,92.85,red,Pre-default risk. Immediate branch escalation recommended.,True
338930,1,0.928189,92.82,red,Pre-default risk. Immediate branch escalation recommended.,True
126286,0,0.9279028,92.79,red,Pre-default risk. Immediate branch escalation recommended.,True
270627,0,0.9277967,92.78,red,Pre-default risk. Immediate branch escalation recommended.,True
257468,0,0.92768514,92.77,red,Pre-default risk. Immediate branch escalation recommended.,True
341929,1,0.9276386,92.76,red,Pre-default risk. Immediate branch escalation recommended.,True
204264,0,0.927458,92.75,red,Pre-default risk. Immediate branch escalation recommended.,True
323575,0,0.92730296,92.73,red,Pre-default risk. Immediate branch escalation recommended.,True
315351,1,0.9272477,92.72,red,Pre-default risk. Immediate branch escalation recommended.,True
165017,1,0.927125,92.71,red,Pre-default risk. Immediate branch escalation recommended.,True
289676,0,0.92707413,92.71,red,Pre-default risk. Immediate branch escalation recommended.,True
104106,1,0.9269708,92.7,red,Pre-default risk. Immediate branch escalation recommended.,True
392901,0,0.92696524,92.7,red,Pre-default risk. Immediate branch escalation recommended.,True
158716,1,0.9268221,92.68,red,Pre-default risk. Immediate branch escalation recommended.,True
177690,0,0.9267759,92.68,red,Pre-default risk. Immediate branch escalation recommended.,True
262314,1,0.92674196,92.67,red,Pre-default risk. Immediate branch escalation recommended.,True
205242,0,0.9266388,92.66,red,Pre-default risk. Immediate branch escalation recommended.,True
222609,1,0.92658466,92.66,red,Pre-default risk. Immediate branch escalation recommended.,True
337049,1,0.9265743,92.66,red,Pre-default risk. Immediate branch escalation recommended.,True
351731,1,0.9263241,92.63,red,Pre-default risk. Immediate branch escalation recommended.,True
379079,0,0.9262701,92.63,red,Pre-default risk. Immediate branch escalation recommended.,True
359356,1,0.92606306,92.61,red,Pre-default risk. Immediate branch escalation recommended.,True
370811,1,0.9260969,92.61,red,Pre-default risk. Immediate branch escalation recommended.,True
217839,0,0.9259814,92.6,red,Pre-default risk. Immediate branch escalation recommended.,True
389767,1,0.92587006,92.59,red,Pre-default risk. Immediate branch escalation recommended.,True
190987,1,0.92567617,92.57,red,Pre-default risk. Immediate branch escalation recommended.,True
187704,1,0.9257437,92.57,red,Pre-default risk. Immediate branch escalation recommended.,True
277410,0,0.92550254,92.55,red,Pre-default risk. Immediate branch escalation recommended.,True
454175,0,0.9254513,92.55,red,Pre-default risk. Immediate branch escalation recommended.,True
106719,0,0.92541575,92.54,red,Pre-default risk. Immediate branch escalation recommended.,True
442597,1,0.9253226,92.53,red,Pre-default risk. Immediate branch escalation recommended.,True
395977,0,0.925334,92.53,red,Pre-default risk. Immediate branch escalation recommended.,True
249619,0,0.9250608,92.51,red,Pre-default risk. Immediate branch escalation recommended.,True
447341,1,0.9250547,92.51,red,Pre-default risk. Immediate branch escalation recommended.,True
368329,1,0.9247295,92.47,red,Pre-default risk. Immediate branch escalation recommended.,True
106665,0,0.9246576,92.47,red,Pre-default risk. Immediate branch escalation recommended.,True
335090,1,0.92474276,92.47,red,Pre-default risk. Immediate branch escalation recommended.,True
260943,1,0.92470396,92.47,red,Pre-default risk. Immediate branch escalation recommended.,True
293436,0,0.92456317,92.46,red,Pre-default risk. Immediate branch escalation recommended.,True
164898,0,0.92463684,92.46,red,Pre-default risk. Immediate branch escalation recommended.,True
450010,1,0.9245318,92.45,red,Pre-default risk. Immediate branch escalation recommended.,True
401749,1,0.9244067,92.44,red,Pre-default risk. Immediate branch escalation recommended.,True
135075,1,0.9243139,92.43,red,Pre-default risk. Immediate branch escalation recommended.,True
232225,0,0.9242899,92.43,red,Pre-default risk. Immediate branch escalation recommended.,True
378939,0,0.9242369,92.42,red,Pre-default risk. Immediate branch escalation recommended.,True
338631,1,0.92383903,92.38,red,Pre-default risk. Immediate branch escalation recommended.,True
380709,1,0.9236634,92.37,red,Pre-default risk. Immediate branch escalation recommended.,True
334370,1,0.92359513,92.36,red,Pre-default risk. Immediate branch escalation recommended.,True
284823,0,0.9233933,92.34,red,Pre-default risk. Immediate branch escalation recommended.,True
155010,0,0.9230765,92.31,red,Pre-default risk. Immediate branch escalation recommended.,True
268193,0,0.92291087,92.29,red,Pre-default risk. Immediate branch escalation recommended.,True
374966,1,0.9228488,92.28,red,Pre-default risk. Immediate branch escalation recommended.,True
403139,1,0.92279184,92.28,red,Pre-default risk. Immediate branch escalation recommended.,True
268313,1,0.9226603,92.27,red,Pre-default risk. Immediate branch escalation recommended.,True
233398,1,0.92256,92.26,red,Pre-default risk. Immediate branch escalation recommended.,True
317888,0,0.9225119,92.25,red,Pre-default risk. Immediate branch escalation recommended.,True
162796,0,0.9224438,92.24,red,Pre-default risk. Immediate branch escalation recommended.,True
102524,1,0.9223741,92.24,red,Pre-default risk. Immediate branch escalation recommended.,True
418689,1,0.92228895,92.23,red,Pre-default risk. Immediate branch escalation recommended.,True
399553,1,0.92223823,92.22,red,Pre-default risk. Immediate branch escalation recommended.,True
333304,1,0.92221797,92.22,red,Pre-default risk. Immediate branch escalation recommended.,True
345819,0,0.9222343,92.22,red,Pre-default risk. Immediate branch escalation recommended.,True
215425,0,0.92210627,92.21,red,Pre-default risk. Immediate branch escalation recommended.,True
262761,0,0.92212164,92.21,red,Pre-default risk. Immediate branch escalation recommended.,True
149545,1,0.92204577,92.2,red,Pre-default risk. Immediate branch escalation recommended.,True
124044,1,0.92198086,92.2,red,Pre-default risk. Immediate branch escalation recommended.,True
333834,1,0.92200077,92.2,red,Pre-default risk. Immediate branch escalation recommended.,True
180333,1,0.921877,92.19,red,Pre-default risk. Immediate branch escalation recommended.,True
302331,0,0.921772,92.18,red,Pre-default risk. Immediate branch escalation recommended.,True
445198,0,0.92145306,92.15,red,Pre-default risk. Immediate branch escalation recommended.,True
141609,0,0.921382,92.14,red,Pre-default risk. Immediate branch escalation recommended.,True
213488,0,0.9214335,92.14,red,Pre-default risk. Immediate branch escalation recommended.,True
290561,1,0.9212986,92.13,red,Pre-default risk. Immediate branch escalation recommended.,True
455427,0,0.9212766,92.13,red,Pre-default risk. Immediate branch escalation recommended.,True
330468,1,0.9213265,92.13,red,Pre-default risk. Immediate branch escalation recommended.,True
233266,1,0.92106026,92.11,red,Pre-default risk. Immediate branch escalation recommended.,True
129061,1,0.9207958,92.08,red,Pre-default risk. Immediate branch escalation recommended.,True
185226,1,0.9207332,92.07,red,Pre-default risk. Immediate branch escalation recommended.,True
410455,0,0.9206101,92.06,red,Pre-default risk. Immediate branch escalation recommended.,True
199216,0,0.92047703,92.05,red,Pre-default risk. Immediate branch escalation recommended.,True
434395,0,0.9204148,92.04,red,Pre-default risk. Immediate branch escalation recommended.,True
190445,1,0.9202797,92.03,red,Pre-default risk. Immediate branch escalation recommended.,True
103103,0,0.92026305,92.03,red,Pre-default risk. Immediate branch escalation recommended.,True
376936,0,0.92009485,92.01,red,Pre-default risk. Immediate branch escalation recommended.,True
444452,0,0.9200779,92.01,red,Pre-default risk. Immediate branch escalation recommended.,True
221039,1,0.920097,92.01,red,Pre-default risk. Immediate branch escalation recommended.,True
404486,1,0.92009467,92.01,red,Pre-default risk. Immediate branch escalation recommended.,True
172535,1,0.9200189,92.0,red,Pre-default risk. Immediate branch escalation recommended.,True
343438,0,0.91993093,91.99,red,Pre-default risk. Immediate branch escalation recommended.,True
167523,1,0.9198493,91.98,red,Pre-default risk. Immediate branch escalation recommended.,True
205215,1,0.9196233,91.96,red,Pre-default risk. Immediate branch escalation recommended.,True
148853,1,0.9195024,91.95,red,Pre-default risk. Immediate branch escalation recommended.,True
293906,1,0.919359,91.94,red,Pre-default risk. Immediate branch escalation recommended.,True
219797,0,0.9191155,91.91,red,Pre-default risk. Immediate branch escalation recommended.,True
389965,1,0.918785,91.88,red,Pre-default risk. Immediate branch escalation recommended.,True
168387,1,0.9187807,91.88,red,Pre-default risk. Immediate branch escalation recommended.,True
131287,0,0.9188,91.88,red,Pre-default risk. Immediate branch escalation recommended.,True
444714,0,0.918484,91.85,red,Pre-default risk. Immediate branch escalation recommended.,True
127545,0,0.9185403,91.85,red,Pre-default risk. Immediate branch escalation recommended.,True
366811,1,0.91838014,91.84,red,Pre-default risk. Immediate branch escalation recommended.,True
366728,0,0.91832846,91.83,red,Pre-default risk. Immediate branch escalation recommended.,True
265466,1,0.9182993,91.83,red,Pre-default risk. Immediate branch escalation recommended.,True
158461,0,0.9182941,91.83,red,Pre-default risk. Immediate branch escalation recommended.,True
285223,1,0.91807145,91.81,red,Pre-default risk. Immediate branch escalation recommended.,True
395485,0,0.9181031,91.81,red,Pre-default risk. Immediate branch escalation recommended.,True
126282,1,0.9181416,91.81,red,Pre-default risk. Immediate branch escalation recommended.,True
180533,1,0.91787446,91.79,red,Pre-default risk. Immediate branch escalation recommended.,True
179801,0,0.9179298,91.79,red,Pre-default risk. Immediate branch escalation recommended.,True
241117,1,0.91779643,91.78,red,Pre-default risk. Immediate branch escalation recommended.,True
168060,0,0.9177746,91.78,red,Pre-default risk. Immediate branch escalation recommended.,True
309184,0,0.9177678,91.78,red,Pre-default risk. Immediate branch escalation recommended.,True
403220,0,0.9176655,91.77,red,Pre-default risk. Immediate branch escalation recommended.,True
129762,0,0.9176213,91.76,red,Pre-default risk. Immediate branch escalation recommended.,True
237293,0,0.91764325,91.76,red,Pre-default risk. Immediate branch escalation recommended.,True
399311,1,0.91737306,91.74,red,Pre-default risk. Immediate branch escalation recommended.,True
117339,1,0.9174083,91.74,red,Pre-default risk. Immediate branch escalation recommended.,True
381637,0,0.9173563,91.74,red,Pre-default risk. Immediate branch escalation recommended.,True
436245,1,0.9173508,91.74,red,Pre-default risk. Immediate branch escalation recommended.,True
165030,1,0.91731167,91.73,red,Pre-default risk. Immediate branch escalation recommended.,True
213011,0,0.916981,91.7,red,Pre-default risk. Immediate branch escalation recommended.,True
368335,0,0.9169915,91.7,red,Pre-default risk. Immediate branch escalation recommended.,True
331146,1,0.9169484,91.69,red,Pre-default risk. Immediate branch escalation recommended.,True
333511,1,0.9168667,91.69,red,Pre-default risk. Immediate branch escalation recommended.,True
262204,1,0.91679907,91.68,red,Pre-default risk. Immediate branch escalation recommended.,True
292313,0,0.91673034,91.67,red,Pre-default risk. Immediate branch escalation recommended.,True
127168,0,0.91672266,91.67,red,Pre-default risk. Immediate branch escalation recommended.,True
227581,1,0.9165066,91.65,red,Pre-default risk. Immediate branch escalation recommended.,True
454301,0,0.9163475,91.63,red,Pre-default risk. Immediate branch escalation recommended.,True
239246,1,0.91615283,91.62,red,Pre-default risk. Immediate branch escalation recommended.,True
245285,0,0.916174,91.62,red,Pre-default risk. Immediate branch escalation recommended.,True
335555,1,0.91610026,91.61,red,Pre-default risk. Immediate branch escalation recommended.,True
408529,1,0.91613084,91.61,red,Pre-default risk. Immediate branch escalation recommended.,True
185933,0,0.9159977,91.6,red,Pre-default risk. Immediate branch escalation recommended.,True
405070,1,0.9159575,91.6,red,Pre-default risk. Immediate branch escalation recommended.,True
290063,1,0.9159711,91.6,red,Pre-default risk. Immediate branch escalation recommended.,True
441843,0,0.91586196,91.59,red,Pre-default risk. Immediate branch escalation recommended.,True
196420,1,0.91586566,91.59,red,Pre-default risk. Immediate branch escalation recommended.,True
434346,0,0.91555643,91.56,red,Pre-default risk. Immediate branch escalation recommended.,True
199178,0,0.9155924,91.56,red,Pre-default risk. Immediate branch escalation recommended.,True
146767,1,0.91517174,91.52,red,Pre-default risk. Immediate branch escalation recommended.,True
434849,0,0.915243,91.52,red,Pre-default risk. Immediate branch escalation recommended.,True
222369,1,0.91498667,91.5,red,Pre-default risk. Immediate branch escalation recommended.,True
275560,0,0.9149949,91.5,red,Pre-default risk. Immediate branch escalation recommended.,True
258523,1,0.91499656,91.5,red,Pre-default risk. Immediate branch escalation recommended.,True
139899,0,0.91486055,91.49,red,Pre-default risk. Immediate branch escalation recommended.,True
234202,1,0.914899,91.49,red,Pre-default risk. Immediate branch escalation recommended.,True
125314,1,0.9147678,91.48,red,Pre-default risk. Immediate branch escalation recommended.,True
299013,0,0.91472685,91.47,red,Pre-default risk. Immediate branch escalation recommended.,True
159741,0,0.914743,91.47,red,Pre-default risk. Immediate branch escalation recommended.,True
225125,0,0.9145252,91.45,red,Pre-default risk. Immediate branch escalation recommended.,True
284182,0,0.91448164,91.45,red,Pre-default risk. Immediate branch escalation recommended.,True
304038,0,0.91451573,91.45,red,Pre-default risk. Immediate branch escalation recommended.,True
308771,1,0.9145185,91.45,red,Pre-default risk. Immediate branch escalation recommended.,True
431019,0,0.91437334,91.44,red,Pre-default risk. Immediate branch escalation recommended.,True
337785,0,0.91426986,91.43,red,Pre-default risk. Immediate branch escalation recommended.,True
126939,0,0.9141504,91.42,red,Pre-default risk. Immediate branch escalation recommended.,True
173343,1,0.91409165,91.41,red,Pre-default risk. Immediate branch escalation recommended.,True
268284,0,0.9139549,91.4,red,Pre-default risk. Immediate branch escalation recommended.,True
415501,0,0.9139554,91.4,red,Pre-default risk. Immediate branch escalation recommended.,True
119043,0,0.91387355,91.39,red,Pre-default risk. Immediate branch escalation recommended.,True
125739,1,0.91386104,91.39,red,Pre-default risk. Immediate branch escalation recommended.,True
159860,1,0.913552,91.36,red,Pre-default risk. Immediate branch escalation recommended.,True
440774,0,0.9133079,91.33,red,Pre-default risk. Immediate branch escalation recommended.,True
407520,1,0.9131126,91.31,red,Pre-default risk. Immediate branch escalation recommended.,True
424945,0,0.9131144,91.31,red,Pre-default risk. Immediate branch escalation recommended.,True
319611,1,0.913074,91.31,red,Pre-default risk. Immediate branch escalation recommended.,True
156698,0,0.91304827,91.3,red,Pre-default risk. Immediate branch escalation recommended.,True
402310,0,0.9128425,91.28,red,Pre-default risk. Immediate branch escalation recommended.,True
354521,1,0.91277057,91.28,red,Pre-default risk. Immediate branch escalation recommended.,True
200622,1,0.91266966,91.27,red,Pre-default risk. Immediate branch escalation recommended.,True
333383,0,0.912419,91.24,red,Pre-default risk. Immediate branch escalation recommended.,True
173954,1,0.91241324,91.24,red,Pre-default risk. Immediate branch escalation recommended.,True
226000,0,0.91235304,91.24,red,Pre-default risk. Immediate branch escalation recommended.,True
263845,1,0.91240185,91.24,red,Pre-default risk. Immediate branch escalation recommended.,True
364531,0,0.91243577,91.24,red,Pre-default risk. Immediate branch escalation recommended.,True
230816,0,0.91228276,91.23,red,Pre-default risk. Immediate branch escalation recommended.,True
286617,0,0.9122205,91.22,red,Pre-default risk. Immediate branch escalation recommended.,True
296038,0,0.9121778,91.22,red,Pre-default risk. Immediate branch escalation recommended.,True
